_type,_id,_revision,_base,_page.next,savivaldybe._id,aob_kodas._id,gyvenamoji_vietove._id,gatve._id,nr,korpuso_nr,pasto_kodas,aob_nuo
datasets/gov/rc/ar/pastatas/Pastatas,008b603e-9350-434d-a8a1-482b6233f407,29fd894e-4a20-4927-be96-5897a6dc8f99,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,d68cec30-09cd-4dd6-8c11-2c9eb1a6f8fa,8802e1dd-0977-4c5f-9199-18a1194421e3,a267aa08-f31c-4786-b5f9-ac60268f80b8,3,,LT-64104,2010-12-23
datasets/gov/rc/ar/pastatas/Pastatas,008e6725-6388-4a40-ae8a-d404663b27a7,706bfada-3d37-42ba-9426-4b7977f4b683,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,d9791846-eaa5-4478-83cb-360ba405e15a,85935d8b-1428-46c1-873d-e4d6c49bc254,78a2eb09-57b6-4df4-a39c-d3279d061a0d,41,,LT-64233,2011-10-21
datasets/gov/rc/ar/pastatas/Pastatas,008eb3d8-9e01-45a7-99f8-d5340e0454b8,6a857a9f-1b84-4dd1-9dee-5ce56759c454,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,5192bfb2-eefc-4e2d-b269-0e3f55c9d2ae,212ed786-af95-44de-ae28-b753e9a41a4b,0ce4d829-c09f-4e8b-89d3-20052406875b,87A,,LT-62188,2020-12-17
datasets/gov/rc/ar/pastatas/Pastatas,0095931f-ad5d-429c-8dc9-c5c651d9a4e1,1c401d51-de44-48b1-8872-cc76b857679b,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,87454859-398e-4375-8119-0b961bc74d63,73d7183b-136d-4961-b7ea-775f654670a2,a918db27-5487-4ee2-9070-6a32bfdc5b05,111,,LT-64100,2011-11-15
datasets/gov/rc/ar/pastatas/Pastatas,00959eb6-4772-43d0-87ca-7cbc8903aa2b,df69d155-63c0-4056-b0b3-1d57173e698f,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,c018132b-3594-4e47-b145-ad955525bfc3,4e48a119-2267-4c0a-aea1-7647ab91d902,8d1cb033-43fa-49a0-afb8-5e66e44fc9a0,32,,LT-64316,2011-05-18
datasets/gov/rc/ar/pastatas/Pastatas,00960e9b-33ae-4bc9-b43c-5fdbd674ba5f,acb24927-30ba-4793-8411-fafda37fd610,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,dae77d43-3430-4859-9690-028a056158d1,1cdacf2c-a7c1-46ab-95b6-606b9210b4bb,ebaa7e95-90cc-4f82-9b1f-42c64d061d48,25B,,LT-62442,2018-01-15
datasets/gov/rc/ar/pastatas/Pastatas,00964033-ca2d-4f94-9dc8-9d4d6fc3f6e5,2bab654a-30ee-4880-865b-fd9344d35d7b,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,3e155b10-6512-4aa8-a84c-30b45b65e926,d5472a1f-11d1-4e21-907e-db7f50f62859,ea355ab8-1c0f-4466-8e00-c2810c342587,38J,,LT-62187,2015-08-31
datasets/gov/rc/ar/pastatas/Pastatas,0097033e-bccb-4fe0-b156-814b2690d27e,25f78f81-aea2-4c03-8d1f-b7a6f396cc53,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,3dd622ad-a9c5-42a3-a709-dd098e6476b1,79b224f2-4396-45f0-a7d7-a5cb7ef9cd01,db977c44-06e0-40fb-a26b-ce50b9d3e4da,13,,LT-64182,2013-11-19
datasets/gov/rc/ar/pastatas/Pastatas,0097c66c-864a-4774-a732-8d784602bdb4,4267a4c0-7621-4692-a1a5-414f1e6ebef0,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,4178f5b5-4c2b-4027-b30a-77d0b0aa56ae,4443fd78-3236-460a-afd3-74f8f8509003,98a55b9b-ffc3-4787-bc85-f08e3e4c7beb,59,,LT-64482,2010-04-16
datasets/gov/rc/ar/pastatas/Pastatas,00985abc-e6ff-4898-a23b-b87a62637f6d,8a4e7b42-8ed3-4797-955f-3406ddce678b,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,837f319d-ffa5-462a-aac5-51bbe3edfad8,a891960e-a821-4688-af2d-ac393c2bb5e8,4265f1bc-16d6-49ab-b7ee-bc78040f36ea,1,,LT-62203,2011-01-19
datasets/gov/rc/ar/pastatas/Pastatas,009b8d7d-59a0-4a73-993d-3fd8d16c6a2e,a9b82d0b-4c02-415b-ac05-fb8d97d8fabf,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,68161349-10f4-465a-a18f-c2d8328e1210,d8eb86ee-eafa-4c2e-8de3-63d9f225d922,e7fafdf7-8a23-45b6-8b42-6574cfbcaa4a,2,,LT-64238,2012-03-21
datasets/gov/rc/ar/pastatas/Pastatas,009cbda7-624e-4ea0-9af8-458ff06ba09f,036f76d5-0e3f-47f1-a5a7-45fc8ae5067e,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,7fb1d69a-b7a6-48f3-9adc-bec983ed20ab,23aed88d-19cd-4f53-8b93-dc7280826c88,ce68af27-0ed8-42d9-b642-0430f4b5eddd,5,,LT-64133,2013-05-16
datasets/gov/rc/ar/pastatas/Pastatas,00a0b2a6-d34d-4fba-a29c-027009483001,d784c435-ffcd-4041-942f-aa7b17547a56,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,59d31deb-b736-44b4-add3-ea8d0598271b,1cdacf2c-a7c1-46ab-95b6-606b9210b4bb,37c1c13d-489e-4d05-b647-ae11c5ed2c2c,2,,LT-62442,2020-10-15
datasets/gov/rc/ar/pastatas/Pastatas,00a1fb29-fdec-40d9-a261-dada4d6aa076,9c361393-2c64-4d13-9a0a-c7127c6c0cc4,,,3e9cb110-6c90-4c2a-bace-3e290a5b667b,8ee008ef-0b58-4f5d-8cba-1da5420b4d78,3aa783c4-8c4f-408f-b71d-f6a0cd8f1c79,39839dcb-e07f-4308-9eac-4137402024b3,14F,,LT-64109,2015-02-24
