dirbt_id,seniunijos_pavad,obje_tipas,pask_tipas,aukstu_skaicius,atr_uzstatytas_plotas,stat_pabaigos_metai,status,n_candidates,n_categorical_pool,best_unikalus_nr,best_b_area,log_area_dist
75632463012156315,Kauno m.,22,296,1,23.0,1986.0,ambiguous,102,352,190010065016,23.034799997596814,0.0015118998769438896
74553237038418943,Kauno m.,28,240,1,20.0,1984.0,ambiguous,617,3176,440027549862,20.046249997112902,0.002309830142869007
64778212255077877,Kauno m.,20,110,1,229.0,2023.0,ambiguous,8947,15727,440006054059,229.0097016890389,4.2364556927410035e-05
7455228589667362,Petrašiūnų sen.,26,266,1,23.92,1988.0,ambiguous,198,389,199700620011,23.851900001372584,0.0028510502933576376
7522898627661824,Panemunės sen.,20,110,1,104.0,1956.0,ambiguous,14493,15727,440055786560,103.99919881171498,7.70376318381949e-06
74449342714475036,Kauno m.,28,240,1,24.0,1920.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
74412238085967974,Kauno m.,28,240,1,24.0,1980.0,ambiguous,830,3176,199480080075,23.88897094517182,0.00463694464823261
75625245829346668,Žaliakalnio sen.,20,110,2,132.0,1979.0,ambiguous,6983,8034,440056140480,131.99690565449498,2.3442286170016757e-05
75609696781719068,Vilijampolės sen.,22,222,1,12156.0,1970.0,ambiguous,62,917,199590314020,12238.494800061588,0.006763420616550775
65210963837080457,Šilainių sen.,20,110,1,214.0,2016.0,ambiguous,9879,15727,440014956640,213.9762053549146,0.0001111961123640981
65315039269516234,Panemunės sen.,20,110,2,192.0,2018.0,ambiguous,5726,8034,440015956933,191.98790664136934,6.298822658479253e-05
65098496249139659,Petrašiūnų sen.,22,236,1,41.0,1917.0,no_match,0,4,,,
75579973289202559,Kauno m.,22,220,1,43.43,1964.0,ambiguous,211,1208,199750031011,43.55241793562561,0.002814776120440232
64915149941088823,Šilainių sen.,20,110,1,199.0,2017.0,ambiguous,10855,15727,440029391220,199.0041023292187,2.06145072114694e-05
74886428669910673,Kauno m.,28,240,0,20.0,1988.0,ambiguous,2,14,199280332056,20.6112000027217,0.030102343948493093
74731726700364834,Kauno m.,28,240,1,35.0,1927.0,ambiguous,1368,3176,199730192028,35.120799997296,0.003445485984352459
